����,�n�l(BID),���l(BID),���l(BID),�I�l(BID),���l(ASK),���l(ASK)
20150501121200,94.419,94.420,94.394,94.395,94.427,94.401,LOWやで～
20150501121300,94.395,94.396,94.373,94.376,94.403,94.380,LOWやで～
20150501121400,94.376,94.400,94.376,94.398,94.407,94.383,HIGHやで～
20150501121500,94.398,94.398,94.378,94.382,94.405,94.385,LOWやで～
20150501121600,94.383,94.388,94.383,94.386,94.395,94.390,HIGHやで～
20150501121700,94.386,94.400,94.383,94.398,94.407,94.390,HIGHやで～
20150501121800,94.398,94.403,94.395,94.395,94.410,94.402,LOWやで～
20150501121900,94.395,94.401,94.389,94.389,94.408,94.396,LOWやで～
20150501122000,94.389,94.389,94.386,94.388,94.396,94.393,LOWやで～
20150501122100,94.388,94.394,94.372,94.377,94.401,94.379,LOWやで～
20150501122200,94.378,94.395,94.378,94.395,94.402,94.385,HIGHやで～
20150501122300,94.395,94.410,94.394,94.405,94.417,94.401,HIGHやで～
20150501122400,94.405,94.412,94.404,94.407,94.419,94.411,HIGHやで～
20150501122500,94.407,94.411,94.406,94.410,94.418,94.413,HIGHやで～
20150501122600,94.410,94.418,94.390,94.390,94.425,94.397,LOWやで～
20150501122700,94.391,94.401,94.389,94.394,94.408,94.396,HIGHやで～
20150501122800,94.394,94.402,94.393,94.393,94.409,94.400,LOWやで～
20150501122900,94.393,94.397,94.383,94.387,94.404,94.390,LOWやで～
20150501123000,94.387,94.393,94.386,94.387,94.400,94.393,LOWやで～
20150501123100,94.387,94.422,94.387,94.422,94.429,94.394,HIGHやで～
20150501123200,94.422,94.438,94.421,94.437,94.445,94.428,HIGHやで～
20150501123300,94.437,94.448,94.436,94.446,94.455,94.443,HIGHやで～
20150501123400,94.446,94.446,94.437,94.437,94.453,94.444,LOWやで～
20150501123500,94.437,94.441,94.436,94.440,94.448,94.443,HIGHやで～
20150501123600,94.440,94.442,94.436,94.438,94.449,94.443,LOWやで～
20150501123700,94.438,94.439,94.437,94.437,94.446,94.444,LOWやで～
20150501123800,94.436,94.448,94.436,94.444,94.455,94.443,HIGHやで～
20150501123900,94.444,94.445,94.435,94.440,94.452,94.442,LOWやで～
20150501124000,94.441,94.441,94.431,94.432,94.448,94.438,LOWやで～
20150501124100,94.432,94.436,94.430,94.434,94.443,94.437,HIGHやで～
20150501124200,94.434,94.439,94.433,94.435,94.446,94.440,HIGHやで～
20150501124300,94.436,94.459,94.436,94.455,94.466,94.443,HIGHやで～
20150501124400,94.456,94.463,94.456,94.463,94.470,94.463,HIGHやで～
20150501124500,94.463,94.481,94.459,94.474,94.488,94.466,HIGHやで～
20150501124600,94.473,94.474,94.468,94.471,94.481,94.475,LOWやで～
20150501124700,94.471,94.476,94.467,94.471,94.483,94.474,LOWやで～
20150501124800,94.471,94.473,94.467,94.467,94.480,94.474,LOWやで～
20150501124900,94.467,94.478,94.463,94.477,94.485,94.470,HIGHやで～
20150501125000,94.477,94.478,94.475,94.477,94.485,94.482,LOWやで～
20150501125100,94.477,94.477,94.469,94.472,94.484,94.476,LOWやで～
20150501125200,94.472,94.481,94.460,94.481,94.488,94.467,HIGHやで～
20150501125300,94.481,94.485,94.466,94.466,94.492,94.473,LOWやで～
20150501125400,94.466,94.472,94.462,94.465,94.479,94.469,LOWやで～
20150501125500,94.465,94.467,94.455,94.458,94.474,94.462,LOWやで～
20150501125600,94.458,94.460,94.449,94.452,94.467,94.456,LOWやで～
20150501125700,94.452,94.452,94.449,94.450,94.459,94.456,LOWやで～
20150501125800,94.450,94.450,94.445,94.446,94.457,94.452,LOWやで～
20150501125900,94.446,94.449,94.434,94.446,94.456,94.441,LOWやで～
20150501130000,94.447,94.454,94.440,94.441,94.461,94.447,LOWやで～
20150501130100,94.440,94.440,94.420,94.426,94.447,94.427,LOWやで～
20150501130200,94.426,94.430,94.409,94.414,94.437,94.416,LOWやで～
20150501130300,94.413,94.425,94.413,94.419,94.432,94.420,HIGHやで～
20150501130400,94.419,94.426,94.412,94.426,94.433,94.419,HIGHやで～
20150501130500,94.426,94.455,94.426,94.449,94.462,94.433,HIGHやで～
